"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2021","539.10","578.20","587.90","517.10","1.67M","-6.78%"
"Nov 17, 2021","578.30","589.20","592.50","554.60","1.45M","-1.80%"
"Nov 16, 2021","588.90","633.80","634.50","574.00","2.20M","-7.04%"
"Nov 15, 2021","633.50","651.50","659.20","631.30","954.07K","-2.66%"
"Nov 14, 2021","650.80","649.90","660.20","634.80","933.71K","0.20%"
"Nov 13, 2021","649.50","627.80","654.70","620.80","900.09K","3.61%"
"Nov 12, 2021","626.90","627.90","634.50","603.90","1.01M","-0.30%"
"Nov 11, 2021","628.80","614.10","634.80","606.00","1.02M","2.28%"
"Nov 10, 2021","614.80","634.40","662.60","575.70","1.81M","-3.17%"
"Nov 09, 2021","634.90","653.60","656.70","632.10","879.13K","-2.89%"
"Nov 08, 2021","653.80","649.50","655.50","631.70","1.29M","0.66%"
"Nov 07, 2021","649.50","637.70","668.80","630.90","1.48M","2.07%"
"Nov 06, 2021","636.30","607.10","636.30","596.00","1.36M","4.78%"
"Nov 05, 2021","607.30","559.60","614.60","554.40","1.99M","8.70%"
"Nov 04, 2021","558.70","568.50","568.70","543.80","1.05M","-1.71%"
"Nov 03, 2021","568.40","554.30","569.90","537.60","1.26M","2.54%"
"Nov 02, 2021","554.30","551.20","563.70","537.60","1.15M","0.51%"
"Nov 01, 2021","551.50","525.30","551.90","511.80","1.27M","5.13%"
"Oct 31, 2021","524.60","529.30","534.90","509.30","1.02M","-0.68%"
"Oct 30, 2021","528.20","530.40","540.30","512.20","1.10M","-0.25%"
"Oct 29, 2021","529.50","492.10","533.60","489.00","1.41M","7.60%"
"Oct 28, 2021","492.10","448.90","494.70","446.60","1.52M","9.67%"
"Oct 27, 2021","448.70","478.20","486.30","438.50","1.37M","-6.13%"
"Oct 26, 2021","478.00","484.90","489.60","474.20","702.62K","-1.42%"
"Oct 25, 2021","484.90","475.70","488.60","474.80","632.11K","1.91%"
"Oct 24, 2021","475.80","485.60","486.40","468.00","591.04K","-1.98%"
"Oct 23, 2021","485.40","479.20","485.40","472.90","522.39K","1.38%"
"Oct 22, 2021","478.80","470.90","497.90","470.90","1.12M","1.63%"
"Oct 21, 2021","471.10","501.30","504.80","467.30","1.85M","-5.99%"
"Oct 20, 2021","501.10","488.10","505.60","482.40","946.05K","2.66%"
"Oct 19, 2021","488.10","484.90","497.40","481.10","912.95K","0.64%"
"Oct 18, 2021","485.00","470.90","487.20","467.20","1.09M","3.04%"
"Oct 17, 2021","470.70","465.80","472.40","455.90","889.88K","1.20%"
"Oct 16, 2021","465.10","474.80","484.40","462.50","1.04M","-1.94%"
"Oct 15, 2021","474.30","472.70","477.40","452.90","1.51M","0.40%"
"Oct 14, 2021","472.40","471.00","482.60","461.80","1.43M","0.43%"
"Oct 13, 2021","470.40","443.90","471.60","434.10","3.38M","5.85%"
"Oct 12, 2021","444.40","413.00","444.40","392.50","1.97M","7.50%"
"Oct 11, 2021","413.40","403.70","423.90","400.40","759.89K","2.28%"
"Oct 10, 2021","404.20","422.20","422.20","402.40","729.36K","-4.15%"
"Oct 09, 2021","421.70","419.70","425.90","416.50","632.35K","0.72%"
"Oct 08, 2021","418.70","438.20","441.60","416.00","1.51M","-4.45%"
"Oct 07, 2021","438.20","435.00","449.90","424.10","1.16M","0.78%"
"Oct 06, 2021","434.80","442.10","442.80","414.90","1.25M","-1.67%"
"Oct 05, 2021","442.20","426.40","443.90","424.20","883.63K","3.68%"
"Oct 04, 2021","426.50","430.50","430.90","411.60","974.42K","-0.88%"
"Oct 03, 2021","430.30","427.00","436.90","422.40","821.01K","0.73%"
"Oct 02, 2021","427.20","420.60","438.00","410.80","1.04M","1.40%"
"Oct 01, 2021","421.30","387.90","423.30","381.80","1.44M","8.69%"
"Sep 30, 2021","387.60","367.60","388.50","366.50","1.16M","5.47%"
"Sep 29, 2021","367.50","332.90","375.00","331.60","1.70M","10.39%"
"Sep 28, 2021","332.90","335.20","344.40","330.00","922.41K","-0.72%"
"Sep 27, 2021","335.30","343.80","357.50","335.30","956.61K","-2.70%"
"Sep 26, 2021","344.60","349.50","352.60","320.10","1.54M","-1.40%"
"Sep 25, 2021","349.50","355.00","360.50","343.70","916.87K","-1.58%"
"Sep 24, 2021","355.10","383.50","385.00","334.60","1.72M","-7.43%"
"Sep 23, 2021","383.60","378.80","384.50","369.20","993.85K","1.27%"
"Sep 22, 2021","378.80","344.70","379.90","342.40","1.09M","10.34%"
"Sep 21, 2021","343.30","364.20","375.70","337.30","1.58M","-5.58%"
"Sep 20, 2021","363.60","408.90","409.60","355.30","1.87M","-10.97%"
"Sep 19, 2021","408.40","410.50","419.00","403.40","743.18K","-0.56%"
"Sep 18, 2021","410.70","407.00","419.90","401.60","733.27K","1.11%"
"Sep 17, 2021","406.20","424.70","425.80","401.40","844.04K","-4.24%"
"Sep 16, 2021","424.20","431.40","434.00","416.00","1.04M","-1.62%"
"Sep 15, 2021","431.20","414.40","436.40","410.10","1.18M","4.08%"
"Sep 14, 2021","414.30","399.10","414.30","396.10","930.33K","3.83%"
"Sep 13, 2021","399.00","416.30","419.40","385.30","1.53M","-4.32%"
"Sep 12, 2021","417.00","404.50","421.30","398.00","981.36K","2.94%"
"Sep 11, 2021","405.10","401.60","415.10","399.50","922.65K","1.00%"
"Sep 10, 2021","401.10","421.30","438.90","393.90","1.53M","-4.77%"
"Sep 09, 2021","421.20","415.20","435.60","404.10","1.54M","1.59%"
"Sep 08, 2021","414.60","418.70","425.50","383.70","2.06M","-0.65%"
"Sep 07, 2021","417.30","496.10","504.60","373.90","3.36M","-15.88%"
"Sep 06, 2021","496.10","505.20","508.90","487.80","1.12M","-1.67%"
"Sep 05, 2021","504.50","497.20","505.20","488.90","877.96K","1.43%"
"Sep 04, 2021","497.40","487.90","509.80","485.60","1.25M","1.82%"
"Sep 03, 2021","488.50","483.60","494.50","473.40","1.09M","0.99%"
"Sep 02, 2021","483.70","489.00","504.60","478.10","1.25M","-1.16%"
"Sep 01, 2021","489.40","463.10","490.00","455.50","1.32M","5.41%"
"Aug 31, 2021","464.30","459.30","477.10","452.50","1.48M","0.91%"
"Aug 30, 2021","460.10","479.40","480.90","457.40","1.13M","-4.11%"
"Aug 29, 2021","479.80","486.30","495.50","476.80","910.78K","-1.28%"
"Aug 28, 2021","486.00","494.60","496.80","482.70","891.98K","-1.72%"
"Aug 27, 2021","494.50","478.20","494.90","467.50","1.55M","3.50%"
"Aug 26, 2021","477.80","503.11","518.60","472.70","2.23M","-5.10%"
"Aug 25, 2021","503.46","471.42","506.85","470.10","2.24M","6.64%"
"Aug 24, 2021","472.10","498.63","504.06","461.27","2.08M","-5.54%"
"Aug 23, 2021","499.80","448.43","508.85","447.00","2.66M","11.40%"
"Aug 22, 2021","448.67","448.62","458.25","438.01","1.14M","0.01%"
"Aug 21, 2021","448.63","454.90","459.99","444.80","1.43M","-1.37%"
"Aug 20, 2021","454.88","431.11","457.55","421.97","1.69M","5.44%"
"Aug 19, 2021","431.41","397.21","431.44","391.06","1.85M","8.82%"
"Aug 18, 2021","396.44","401.58","412.08","386.62","1.75M","-1.37%"
"Aug 17, 2021","401.96","415.57","435.65","399.37","1.98M","-3.39%"
"Aug 16, 2021","416.08","414.67","436.65","411.04","1.85M","0.48%"
"Aug 15, 2021","414.10","409.13","414.90","396.63","1.24M","1.27%"
"Aug 14, 2021","408.91","410.82","418.79","400.44","1.44M","-0.48%"
"Aug 13, 2021","410.90","385.94","411.04","383.00","1.26M","6.59%"
"Aug 12, 2021","385.51","390.80","406.11","371.80","1.84M","-1.52%"
"Aug 11, 2021","391.48","371.81","408.19","371.11","1.91M","5.26%"
"Aug 10, 2021","371.91","354.31","376.22","348.95","1.66M","4.91%"
"Aug 09, 2021","354.49","342.10","357.35","333.52","1.29M","3.70%"
"Aug 08, 2021","341.83","356.41","359.79","337.08","1.28M","-4.03%"
"Aug 07, 2021","356.18","342.32","359.60","340.65","1.55M","4.12%"
"Aug 06, 2021","342.08","337.94","347.01","331.42","1.27M","1.23%"
"Aug 05, 2021","337.91","334.99","339.98","323.71","1.26M","0.90%"
"Aug 04, 2021","334.90","323.42","337.05","319.97","969.68K","3.62%"
"Aug 03, 2021","323.20","330.40","334.64","317.66","1.06M","-2.32%"
"Aug 02, 2021","330.86","332.55","338.11","326.38","1.02M","-0.57%"
"Aug 01, 2021","332.77","332.38","347.47","329.71","1.51M","0.10%"
"Jul 31, 2021","332.44","323.34","337.98","317.60","1.39M","3.03%"
"Jul 30, 2021","322.66","317.06","325.27","306.72","1.30M","1.88%"
"Jul 29, 2021","316.72","313.63","319.99","309.00","999.16K","0.93%"
"Jul 28, 2021","313.79","313.24","318.65","308.53","1.31M","0.03%"
"Jul 27, 2021","313.70","303.84","318.24","298.54","1.68M","3.11%"
"Jul 26, 2021","304.24","302.88","327.93","301.20","2.58M","0.55%"
"Jul 25, 2021","302.58","302.55","303.09","292.87","1.08M","-0.18%"
"Jul 24, 2021","303.14","299.86","305.04","296.22","1.58M","1.42%"
"Jul 23, 2021","298.91","293.28","301.15","281.67","1.64M","1.83%"
"Jul 22, 2021","293.54","293.21","297.66","287.59","1.17M","0.15%"
"Jul 21, 2021","293.09","264.41","298.79","261.53","1.74M","10.76%"
"Jul 20, 2021","264.61","280.07","283.26","255.73","1.80M","-5.66%"
"Jul 19, 2021","280.49","302.01","303.46","279.37","1.32M","-7.18%"
"Jul 18, 2021","302.19","300.45","309.01","299.70","815.37K","0.61%"
"Jul 17, 2021","300.35","302.88","306.40","295.11","1.03M","-0.83%"
"Jul 16, 2021","302.86","315.95","323.19","301.87","1.46M","-4.02%"
"Jul 15, 2021","315.56","309.22","324.20","301.95","2.19M","1.96%"
"Jul 14, 2021","309.48","309.00","313.29","290.98","1.43M","0.17%"
"Jul 13, 2021","308.97","315.91","318.15","305.35","930.12K","-2.26%"
"Jul 12, 2021","316.11","321.70","334.34","308.80","1.32M","-1.79%"
"Jul 11, 2021","321.87","316.48","326.55","312.31","799.61K","1.83%"
"Jul 10, 2021","316.09","317.20","321.21","310.81","818.91K","-0.20%"
"Jul 09, 2021","316.72","302.27","319.45","302.27","1.11M","1.97%"
"Jul 08, 2021","310.59","326.02","328.21","307.00","1.64M","-5.21%"
"Jul 07, 2021","327.67","318.93","339.32","318.93","1.78M","3.44%"
"Jul 06, 2021","316.77","302.07","318.78","302.07","2.05M","4.89%"
"Jul 05, 2021","302.00","306.72","306.72","294.73","1.40M","-1.91%"
"Jul 04, 2021","307.88","306.55","314.00","303.27","1.31M","2.88%"
"Jul 03, 2021","299.26","287.20","299.95","284.56","956.68K","4.13%"
"Jul 02, 2021","287.38","287.69","287.69","277.71","1.00M","-0.09%"
"Jul 01, 2021","287.64","303.39","303.39","285.87","1.39M","-5.14%"
"Jun 30, 2021","303.23","300.25","303.65","284.20","2.06M","1.15%"
"Jun 29, 2021","299.79","290.71","312.82","290.71","2.12M","3.44%"
"Jun 28, 2021","289.83","290.93","296.01","285.24","1.88M","-0.36%"
"Jun 27, 2021","290.89","279.50","290.89","272.64","1.54M","4.09%"
"Jun 26, 2021","279.46","280.77","287.47","268.23","2.26M","-0.60%"
"Jun 25, 2021","281.15","308.58","312.51","281.15","2.71M","-8.79%"
"Jun 24, 2021","308.26","295.40","314.39","283.20","2.63M","4.09%"
"Jun 23, 2021","296.16","261.07","299.06","261.07","3.32M","13.28%"
"Jun 22, 2021","261.45","273.00","287.82","242.70","5.57M","-3.83%"
"Jun 21, 2021","271.85","340.05","340.05","271.85","3.73M","-19.83%"
"Jun 20, 2021","339.10","334.21","339.74","318.58","1.62M","1.50%"
"Jun 19, 2021","334.10","336.57","342.05","332.84","1.07M","-0.78%"
"Jun 18, 2021","336.71","352.55","354.93","332.21","1.58M","-4.52%"
"Jun 17, 2021","352.66","347.37","360.00","347.37","1.24M","1.59%"
"Jun 16, 2021","347.15","366.43","366.43","347.15","1.53M","-5.35%"
"Jun 15, 2021","366.78","370.20","376.27","366.42","1.55M","-0.89%"
"Jun 14, 2021","370.09","367.43","373.26","359.43","1.98M","1.16%"
"Jun 13, 2021","365.83","343.99","366.00","333.11","1.96M","6.58%"
"Jun 12, 2021","343.24","345.57","346.41","330.82","2.07M","-0.63%"
"Jun 11, 2021","345.42","352.42","363.65","343.05","2.22M","-1.70%"
"Jun 10, 2021","351.40","375.57","375.57","351.40","2.42M","-6.36%"
"Jun 09, 2021","375.27","351.32","375.27","336.47","3.49M","6.44%"
"Jun 08, 2021","352.57","355.82","359.68","329.37","4.99M","-1.55%"
"Jun 07, 2021","358.11","394.13","406.03","358.11","3.03M","-8.92%"
"Jun 06, 2021","393.20","390.05","398.90","386.72","1.86M","0.79%"
"Jun 05, 2021","390.10","391.74","420.52","387.62","3.98M","-0.13%"
"Jun 04, 2021","390.62","428.57","428.57","369.80","4.93M","-8.64%"
"Jun 03, 2021","427.55","401.20","427.55","398.66","4.21M","6.59%"
"Jun 02, 2021","401.10","364.57","412.41","355.20","4.38M","10.69%"
"Jun 01, 2021","362.37","353.59","362.37","346.74","3.65M","2.44%"
"May 31, 2021","353.73","323.46","353.73","311.26","4.11M","8.65%"
"May 30, 2021","325.58","305.30","333.93","297.20","3.74M","6.83%"
"May 29, 2021","304.77","328.97","342.49","299.37","3.76M","-7.46%"
"May 28, 2021","329.33","369.90","369.90","319.62","5.25M","-10.36%"
"May 27, 2021","367.39","378.11","383.60","347.67","4.28M","-3.11%"
"May 26, 2021","379.20","343.85","379.20","343.85","5.34M","10.30%"
"May 25, 2021","343.78","344.20","353.59","318.24","7.64M","-0.49%"
"May 24, 2021","345.46","261.09","345.46","261.09","7.79M","32.05%"
"May 23, 2021","261.61","299.33","306.37","223.77","8.80M","-12.57%"
"May 22, 2021","299.23","324.57","332.00","288.92","5.30M","-8.34%"
"May 21, 2021","326.47","391.13","408.43","300.74","8.83M","-16.87%"
"May 20, 2021","392.72","340.00","412.24","313.67","8.12M","17.24%"
